Year ,District,PPM
2018,Namakkal,20.1
2018,Namakkal,36.0
2018,Namakkal,43.4
2018,Namakkal,20.1
2018,Namakkal,20.1
2018,Namakkal,31.7
2018,Namakkal,33.9
2018,Perambalur,9.5
2018,Perambalur,25.4
2018,Perambalur,5.3
2018,Perambalur,29.6
2018,Perambalur,23.3
2018,Perambalur,40.2
2018,Perambalur,61.4
2018,Perambalur,6.3
2018,Perambalur,23.3
2018,Pudukottai,0.0
2018,Pudukottai,0.0
2018,Pudukottai,26.5
2018,Pudukottai,0.0
2018,Pudukottai,34.9
2018,Pudukottai,29.6
2018,Pudukottai,0.0
2018,Pudukottai,29.6
2018,Pudukottai,27.5
2018,Pudukottai,13.8
2018,Pudukottai,26.5
2018,Pudukottai,33.9
2018,Pudukottai,37.0
2018,Pudukottai,0.0
2018,Pudukottai,28.6
2018,Pudukottai,27.5
2018,Pudukottai,27.5
2018,Pudukottai,32.8
2018,Pudukottai,42.3
2018,Pudukottai,38.1
2018,Pudukottai,27.5
2018,Pudukottai,20.1
2018,Pudukottai,27.5
2018,Pudukottai,31.7
2018,Pudukottai,55.0
2018,Pudukottai,26.5
2018,Pudukottai,10.6
2018,Pudukottai,14.8
2018,Pudukottai,22.2
2018,Pudukottai,22.2
2018,Pudukottai,21.2
2018,Pudukottai,0.0
2018,Pudukottai,36.0
2018,Pudukottai,20.1
2018,Pudukottai,0.0
2018,Pudukottai,25.4
2018,Pudukottai,0.0
2018,Pudukottai,37.0
2018,Pudukottai,40.2
2018,Pudukottai,24.3
2018,Pudukottai,42.3
2018,Pudukottai,29.6
2018,Pudukottai,5.3
2018,Pudukottai,29.6
2018,Pudukottai,47.6
2018,Pudukottai,3.2
2018,Ramanathapuram,20.1
2018,Ramanathapuram,22.2
2018,Ramanathapuram,0.0
2018,Ramanathapuram,14.8
2018,Ramanathapuram,28.6
2018,Ramanathapuram,43.4
2018,Ramanathapuram,10.6
2018,Ramanathapuram,8.5
2018,Ramanathapuram,6.3
2018,Ramanathapuram,22.2
2018,Ramanathapuram,13.8
2018,Ramanathapuram,39.1
2018,Salem,26.5
2018,Salem,29.6
2018,Salem,54.0
2018,Salem,28.6
2018,Salem,61.4
2018,Salem,50.8
2018,Salem,20.1
2018,Salem,59.2
2018,Salem,24.3
2018,Salem,34.9
2018,Salem,25.4
2018,Salem,73.0
2018,Salem,27.5
2018,Salem,20.1
2018,Salem,24.3
2018,Salem,24.3
2018,Salem,26.5
2018,Salem,25.4
2018,Salem,25.4
2018,Salem,15.9
2018,Salem,26.5
2018,Salem,25.4
2018,Salem,20.1
2018,Salem,38.1
2018,Salem,42.3
2018,Salem,37.0
2018,Salem,40.2
2018,Salem,48.7
2018,Salem,34.9
2018,Salem,41.3
2018,Salem,22.2
2018,Salem,36.0
2018,Sivaganga,14.8
2018,Sivaganga,0.0
2018,Sivaganga,8.5
2018,Sivaganga,30.7
2018,Sivaganga,0.0
2018,Sivaganga,0.0
2018,Sivaganga,29.6
2018,Sivaganga,29.6
2018,Sivaganga,34.9
2018,Sivaganga,14.8
2018,Sivaganga,32.8
2018,Sivaganga,32.8
2018,Sivaganga,24.3
2018,Sivaganga,12.7
2018,Sivaganga,27.5
2018,Sivaganga,38.1
2018,Sivaganga,24.3
2018,Sivaganga,25.4
2018,Sivaganga,16.9
2018,Sivaganga,16.9
2018,Sivaganga,20.1
2018,Sivaganga,15.9
2018,Sivaganga,21.2
2018,Sivaganga,30.7
2018,Sivaganga,30.7
2018,Sivaganga,36.0
2018,Sivaganga,58.2
2018,Sivaganga,23.3
2018,Sivaganga,25.4
2018,Thanjavur,32.8
2018,Thanjavur,25.4
2018,Thanjavur,32.8
2018,Thanjavur,15.9
2018,Thanjavur,16.9
2018,Thanjavur,4.2
2018,Thanjavur,18.0
2018,Thanjavur,28.6
2018,Thanjavur,2.1
2018,Thanjavur,27.5
2018,Thanjavur,15.9
2018,Thanjavur,25.4
2018,Thanjavur,0.0
2018,Thanjavur,47.6
2018,Thanjavur,4.2
2018,Thanjavur,3.2
2018,Thanjavur,5.3
2018,Thanjavur,14.8
2018,Thanjavur,24.3
2018,Thanjavur,19.0
2018,Thanjavur,30.7
2018,Thanjavur,8.5
2018,Thanjavur,0.0
2018,Thanjavur,27.5
2018,Thanjavur,32.8
