Salt Type,Brand,PPM
Refined,Kristal,37.0
Refined,Sathiyam,32.8
Crystal,Annpoorna,26.5
Refined,Annapoorna,31.7
Crystal,Roobini,0.0
Crystal,JS,0.0
Crystal,Amma,33.9
Refined,MST Gold,19.0
Crystal,Tru,19.0
Refined,Aashirvad,56.1
Crystal,Tata,22.2
Crystal,VKS Tru,62.4
Crystal,Ayngaran,6.3
Crystal,Shobha,4.2
Refined,Ayngaran,23.3
Crystal,Mr.Brite,14.8
Crystal,Xeell,0.0
Refined,I Gold,47.6
Crystal,I Flo,27.5
Refined,Tata,39.1
Crystal,Mr.Brite,7.4
Refined,I shakthi,21.2
Crystal,Tata,26.5
Refined,Tata,31.7
Refined,Tata,29.6
Refined,Tata,34.9
Crystal,Little Horse,8.5
Crystal,Annapoorna,26.5
Crystal,Raju,22.2
Refined,Tata,28.6
Refined,Saravana,26.5
Refined,Rajapoorna,26.5
Crystal,Rajapuram,28.6
Refined,Aashirvad,38.1
Crystal,Surya,50.8
Crystal,Annapurna,31.7
Crystal,Rajapurna,38.1
Crystal,Marina,37.0
Powder,Marina,19.0
Crystal,Sprinkle,26.5
Crystal,Surya,58.2
Crystal,Arasu,0.0
Crystal,Sachu,11.6
Refined,Sea Gold,14.8
Refined,Adithya,30.7
Refined,Tata,33.9
Refined,Sea Sun,24.3
Crystal,Surya,20.1
Crystal,VKS O Fresh,5.3
Refined,Tata,38.1
Refined,Aashirvad,49.7
Refined,Tata,33.9
Refined,VKS O Fresh,27.5
Crystal,VKS Adithya,33.9
Crystal,Annapurna,11.6
Crystal,Surya,0.0
Crystal,Pure SK,22.2
Crystal,Saravana,26.5
Refined,Tata,30.7
Crystal,Tata,32.8
Refined,Aashirvad,33.9
Crystal,Tata,39.1
Powder,SLS,22.2
Crystal,GKT,28.6
Crystal,Tiru,10.6
Crystal,Adithya,48.7
Refined,Tata,54.0
Crystal,Mr.King,0.0
Crystal,Arasu,19.0
Refined,Tata,34.9
Refined,Anna Poorna,38.1
Crystal,Brinjal,8.5
Crystal,Surya,24.3
Refined,Surya,29.6
Crystal,I Gold,9.5
Crystal,Surya,36.0
Refined,Tata,34.9
Refined,Surya,38.1
Crystal,Surya,51.8
Refined,Surya,36.0
Refined,I Gold,20.1
Crystal,Saravana,36.0
Crystal,Surya,22.2
Refined,I Sakthi,27.5
Refined,I Sakthi,22.2
Crystal,Surya,33.9
Refined,Tata,33.9
Refined,Aashirvad,50.8
Crystal,Tata,23.3
Crystal,Susee,7.4
Refined,VKS Tru,42.3
Powder,SLS,19.0
Refined,Aashirvad,44.4
Crystal,Saravana,26.5
Refined,Kristee,32.8
Crystal,Star,0.0
Crystal,Sri Aiyanar,4.2
Crystal,Tata,37.0
Crystal,Sathya,0.0
Refined,Murugan,33.9
Crystal,Anil,30.7
Crystal,Sathya,0.0
Crystal,Super Orange,0.0
Crystal,Super Orange,16.9
Crystal,Superman,28.6
Crystal,Subam,0.0
Crystal,Raja Gold,0.0
Crystal,O Fresh,25.4
Refined,Tru,34.9
Refined,Marvel,15.9
Refined,Sudha,22.2
Rock Salt,Farmer Himalayan Rock Salt,0.0
Crystal,Sudha,19.0
Crystal,Murugan,34.9
Refined,Sprinkle,27.5
Refined,Sudha,24.3
Crystal,Samuthra,0.0
Crystal,Shanthy,0.0
Refined,Priyam,20.1
Crystal,Saravana,14.8
Refined,Subam,30.7
Refined,Anil,26.5
Crystal,Sudha,22.2
Crystal,Saravana,26.5
Refined,Anil,23.3
Crystal,Sathya,0.0
Refined,I Shakthi,0.0
Refined,Sudha,19.0
Refined,I Sakthi,25.4
Crystal,Vel Murugan,0.0
Refined,New Premium,16.9
Crystal,Malar,0.0
Refined,Sudha Gold,33.9
Crystal,Prem,39.1
Refined,Aashirvad,15.9
Refined,VKS Adithya,38.1
Crystal,Kayathri,5.3
Crystal,VKS Adithya,16.9
Crystal,Marina,31.7
Refined,Marina,13.8
Crystal,Sri Vetri Vel Murugan,0.0
